target_id,x,y,weight,cell_count,local_risk,service_time
355,213.3751,359.0,4.95177,2,0.039862,1.0
208,8.0,193.0186,4.90461,3,0.332209,1.0
265,9.3406,254.0,4.89311,2,0.0599,1.0
357,172.0,365.663,4.8795,2,0.438923,1.0
130,156.0,121.5724,4.87913,2,0.020994,1.0
286,37.0,283.5499,4.87235,2,0.023802,1.0
14,225.3608,15.0,4.7869,2,0.035954,1.0
77,160.0,66.0609,4.72776,3,0.387948,1.0
147,65.0,136.6046,4.70915,2,0.019478,1.0
225,21.0,208.5804,4.67543,2,0.528049,1.0
302,29.0,301.3257,4.61235,2,0.041938,1.0
358,8.2905,366.0,4.5724,2,0.118121,1.0
192,227.0,176.6436,4.52924,2,0.064144,1.0
236,29.0,225.4315,4.52895,2,0.320897,1.0
131,168.0,121.667,4.49349,2,0.01787,1.0
138,146.3508,126.0,4.48802,2,0.02937,1.0
198,200.5802,184.0,4.4624,2,0.287042,1.0
85,38.7029,70.0,4.31337,2,0.433843,1.0
196,59.4684,179.0,4.27828,2,0.04171,1.0
22,22.463,19.0,4.25295,2,0.067811,1.0
255,115.2765,239.0,4.18985,2,0.101098,1.0
106,142.0,88.5764,4.1648,2,0.117925,1.0
30,95.0,24.6759,4.13317,2,0.025025,1.0
232,58.5502,219.0,4.12932,2,0.124157,1.0
118,37.0,103.2783,4.07678,2,0.019624,1.0
283,180.0,276.7934,4.04794,2,0.00732,1.0
92,201.0,75.7736,4.01977,2,0.040787,1.0
120,103.7968,104.0,4.00435,2,0.012749,1.0
338,30.3521,343.0,3.92948,2,0.413329,1.0
311,162.0,314.3388,3.92564,2,0.119317,1.0
328,213.3582,332.0,3.82213,2,0.024462,1.0
323,59.0,327.4387,3.81389,2,0.139882,1.0
5,109.0,7.3218,3.81312,2,0.005914,1.0
35,94.0,30.4918,3.81003,2,0.031788,1.0
246,71.6922,232.0,3.7877,2,0.140962,1.0
100,47.2265,86.0,3.78199,2,0.196691,1.0
95,174.346,82.0,3.75477,2,0.075659,1.0
75,9.0,63.4523,3.65385,2,0.09218,1.0
154,214.0,141.3751,3.63313,2,0.03064,1.0
201,192.0,186.6035,3.59241,2,0.337713,1.0
187,89.0,173.4799,3.59126,2,0.138034,1.0
309,22.0,314.2563,3.55092,2,0.04408,1.0
207,54.0,191.3629,3.51909,2,0.066753,1.0
99,56.4137,84.0,3.48407,2,0.199419,1.0
333,7.0,339.4312,3.42655,2,0.066604,1.0
90,151.0,73.6563,3.35108,2,0.350424,1.0
346,175.0,349.0,3.28085,1,0.536151,1.0
135,25.0,124.0,3.26541,1,0.012144,1.0
363,140.0,369.0,3.25184,1,0.191942,1.0
61,139.0,51.0,3.2186,1,0.61303,1.0
1,15.0,3.0,3.17348,1,0.010239,1.0
188,102.0,173.0,3.15787,1,0.111277,1.0
210,138.0,192.3352,3.15562,2,0.054034,1.0
76,13.0,64.0,3.15401,1,0.110899,1.0
327,80.0,332.0,3.15004,1,0.066286,1.0
121,223.0,104.0,3.14469,1,0.048501,1.0
180,213.0,162.0,3.13184,1,0.045621,1.0
53,94.0,43.0,3.12787,1,0.066442,1.0
251,148.0,234.0,3.10458,1,0.039418,1.0
81,182.0,68.0,3.08871,1,0.073698,1.0
234,140.0,220.0,3.06462,1,0.056213,1.0
351,73.7271,356.0,3.06168,2,0.188107,1.0
46,206.0,37.0,3.04981,1,0.002791,1.0
258,17.604,246.0,3.03539,2,0.158627,1.0
148,171.0,136.0,3.02024,1,0.0168,1.0
124,66.0,110.0,3.01182,1,0.012801,1.0
115,150.0,96.0,2.99614,1,0.068833,1.0
337,146.0,342.0,2.99345,1,0.391527,1.0
89,17.0,73.0,2.9791,1,0.134054,1.0
184,116.0,168.0,2.97642,1,0.029518,1.0
60,196.0,47.0,2.97059,1,0.048512,1.0
145,136.0,134.0,2.96973,1,0.012733,1.0
